number,classNumber,className,numberInClass,1 varianceOnMask,2 varianceWholeImage,3 varianceWholeImageRed,4 varianceWholeImageGreen,5 varianceWholeImageBlue,6 meanOnMask,7 meanWholeImage,8 meanWholeImageRed,9 meanWholeImageGreen,10 meanWholeImageBlue,11 warRedOnMask,12 warGreenOnMask,13 warBlueOnMask,14 meanOnMaskRed,15 meanOnMaskGreen,16 meanOnMaskBlue,17 kurthosisGrayWholeImage,18 kurthosisGrayOnMask,19 kurthosisRedWholeImage,20 kurthosisGreenWholeImage,21 kurthosisBlueWholeImage,22 kurthosisRedOnMask,23 kurthosisGreenOnMask,24 kurthosisBlueOnMask,25 skewnessGrayWholeImage,26 skewnessGrayOnMask,27 skewnessRedWholeImage,28 skewnessGreenWholeImage,29 skewnessBlueWholeImage,30 skewnessRedOnMask,31 skewnessGreenOnMask,32 skewnessBlueOnMask
26,2,E7,4,1,0.82385,0.62328,0.76431,0.6746,-0.92571,0.5521,0.56165,0.5483,0.5459,0.46518,1,0.28796,-0.78794,-0.98349,-0.71125,-0.92229,-0.99335,-0.88764,-0.97397,-0.96639,-1,-0.99952,-0.99729,-0.11623,-0.35312,-0.20946,0.33068,0.093126,-0.42386,0.21007,0.12534
27,2,E7,5,0.57068,0.52577,0.22131,0.48936,1,-0.79339,0.55339,0.55154,0.55927,0.52823,0.050767,0.64069,0.95236,-0.57472,-0.84453,-0.82732,-0.92833,-0.98509,-0.90637,-0.97556,-0.96174,-0.98753,-0.98862,-0.99859,-0.095995,-0.33184,-0.14756,0.3425,0.064621,-0.41427,0.22864,0.14088
28,2,E7,6,0.27574,0.21066,-0.05616,0.16473,0.85999,-0.84987,0.26576,0.24584,0.28816,0.20079,-0.14788,0.28258,1,-0.63427,-0.87329,-1,-0.92485,-0.98656,-0.89976,-0.97506,-0.95835,-0.99137,-0.98654,-0.99926,-0.048738,-0.38152,-0.075395,0.377,0.069796,-0.46957,0.19769,0.13884
29,2,E7,7,0.39906,0.97835,0.71989,0.97346,0.91863,-0.79896,0.10637,0.10821,0.10844,0.091161,0.055658,0.51568,-0.0074883,-0.67422,-0.8468,-0.61669,-1,-0.98313,-1,-1,-1,-0.9051,-0.98234,-0.98573,0.15419,-0.33005,0.10817,0.50472,0.2712,-0.28592,0.213,0.15311
30,2,E7,8,0.54806,0.99641,0.79425,0.97546,0.79042,-0.80235,0.46823,0.47456,0.46539,0.46685,0.22766,0.69364,0.0023792,-0.67254,-0.86324,-0.56995,-0.9741,-0.99774,-0.96637,-0.99069,-0.98934,-0.90828,-0.99782,-0.98647,0.01914,-0.31638,-0.04593,0.41638,0.18953,-0.24861,0.22509,0.16399
31,2,E7,9,0.60493,1,0.90422,0.92932,0.7929,-0.81435,0.46845,0.46891,0.46926,0.46385,0.38127,0.69895,0.089531,-0.72645,-0.8546,-0.57564,-0.97141,-0.99581,-0.96038,-0.9898,-0.98768,-0.92143,-0.9953,-0.98754,0.014612,-0.31436,-0.062465,0.41468,0.18405,-0.25846,0.22305,0.16269
32,2,E7,10,0.39885,0.52644,0.31774,0.53452,0.39095,-0.81971,0.51681,0.52422,0.51227,0.52166,0.083198,0.59225,-0.064362,-0.65547,-0.89766,-0.58832,-0.93834,-0.99847,-0.91866,-0.97731,-0.97399,-0.853,-0.99616,-0.98487,-0.081039,-0.31769,-0.14485,0.34703,0.12468,-0.18456,0.22129,0.14952
33,2,E7,11,0.465,0.54868,0.45314,0.49271,0.40923,-0.85415,0.49656,0.49324,0.49662,0.50566,0.23554,0.56371,0.0022654,-0.75845,-0.89701,-0.61642,-0.93451,-0.99988,-0.91014,-0.97641,-0.97194,-0.87374,-0.99706,-0.98848,-0.085737,-0.33576,-0.16863,0.34861,0.11882,-0.20726,0.20494,0.14761
34,2,E7,12,0.40408,0.50938,0.26426,0.52917,0.36183,-0.82098,0.49723,0.50378,0.49151,0.51062,0.015951,0.59489,-0.13927,-0.64585,-0.90429,-0.59058,-0.93792,-0.9989,-0.91857,-0.97733,-0.97383,-0.83699,-0.99728,-0.98509,-0.086162,-0.31997,-0.14704,0.34467,0.12209,-0.17822,0.21994,0.13699
35,2,E7,13,0.44222,0.66272,0.47324,0.64733,0.49665,-0.85184,0.48131,0.48443,0.47819,0.49024,0.14269,0.57736,-0.07045,-0.71212,-0.91793,-0.61192,-0.94742,-0.99991,-0.92949,-0.98114,-0.97794,-0.86867,-0.99872,-0.98743,-0.056247,-0.32889,-0.12714,0.36716,0.14022,-0.2047,0.21482,0.14831
