number,classNumber,className,numberInClass,1 meanBacteriaarcLength,2 meanBacteriaWholeCurvature,3 minrolcorPointAndMidP10B10,4 minrolcorPointsP10B10,5 minrolcoranglespointpointmiddleP10B10,6 minrolcoranglespointmiddlepointP10B10,7 medianOfTheObjectsSize,8 howMuchWhiteInMaskPercent,9 howManyObjects,10 howManyBacterias,11 meanShiftr25,12 meanShiftr50,13 meanShiftr75,14 meanShiftr100,15 meanShiftr125,16 meanShiftr150,17 meanShiftr175,18 meanShiftr200,19 NewKmeansAndVariance2DForK3,20 NewKmeansAndVariance2DForK6,21 NewKmeansAndVariance2DForK10,22 NewKmeansAndVariance3DForK3,23 NewKmeansAndVariance3DForK6,24 NewKmeansAndVariance3DForK10,25 NewKmeansAndVariance2DForK3weighted,26 NewKmeansAndVariance2DForK6weighted,27 NewKmeansAndVariance2DForK10weighted
21,1,Pi,21,0.15254,-0.34692,-0.29595,0.76923,-0.22026,0.24483,-0.16976,-0.5688,-0.81519,-0.89044,-0.79382,-0.57207,-0.50714,-0.38065,-0.21154,-0.13889,-0.28302,-0.45455,-0.53019,-0.48967,-0.14122,-0.090352,-0.60152,-0.81424,-0.98232,-0.78992,-0.57166
22,1,Pi,22,0.20553,-0.56615,-0.64885,0.47435,-0.55718,-0.46477,-0.082228,-0.63154,-0.8904,-0.91754,-0.87012,-0.69985,-0.65714,-0.54839,-0.40385,-0.055556,-0.20755,0.090909,-0.29666,-0.57043,-0.64187,-0.62433,-0.59442,-0.72047,-0.93892,0.72729,-0.5485
23,2,E7,1,-0.56478,-0.87179,-0.57412,0.4718,-0.18329,0.045132,-0.6313,-0.9497,-0.87751,-0.98352,-0.84469,-0.66419,-0.62143,-0.38065,-0.23077,-0.22222,-0.24528,-0.13636,-0.68353,0.021062,-0.65974,-0.97267,-0.9614,-0.96022,-0.68722,-0.42512,-0.48673
24,2,E7,2,-0.44075,-0.94703,-1,0.21403,-0.93973,-0.39146,-0.56101,-0.95257,-0.93625,-0.98921,-0.91826,-0.82467,-0.72143,-0.62581,-0.51923,-0.19444,-0.28302,-0.36364,1,0.057163,0.70814,-0.87,-0.87527,-0.90487,-0.84655,-0.78148,-0.66848
25,2,E7,3,1,-0.97983,-0.65922,-0.89545,-0.65191,-0.60508,0.93103,-0.52704,-0.75358,-0.95293,-0.67575,-0.15602,0.092857,0.26452,0.19231,0.22222,0.28302,0.31818,-0.85905,-0.44377,-0.53145,-0.8597,-0.88402,-0.75991,-0.76113,-0.75525,-0.57997
26,2,E7,4,0.83802,-0.90622,-0.91264,-0.89363,-0.92691,-0.34138,0.81565,-0.47342,-0.66117,-0.94001,-0.55586,0.0014859,0.29286,0.39355,0.36538,0.52778,0.62264,0.5,-0.45977,-0.39612,-0.71369,-0.84433,-0.91197,-0.79738,-0.87773,-0.81893,-0.81449
27,2,E7,5,0.95216,-0.93396,-0.73166,0.013986,-0.66319,-0.62978,0.94164,-0.47342,-0.72779,-0.94514,-0.64305,-0.096582,0.13571,0.35484,0.48077,0.61111,0.54717,0.40909,-0.99925,-0.54935,-0.68771,-0.95902,-0.92323,-0.67278,-0.67613,-0.6368,-0.65629
28,2,E7,6,0.97989,-0.88194,-0.45362,0.57224,-0.41191,-0.14695,1,-0.49441,-0.76003,-0.95045,-0.68483,-0.17088,0.12143,0.29032,0.42308,0.5,0.50943,0.45455,-0.28752,-0.25047,-0.73002,-0.70374,-0.54541,-0.60541,-0.92489,-0.30277,-0.58403
29,2,E7,7,-0.15911,-0.82532,-0.26065,0.32844,-0.16871,0.54399,-0.46154,-0.0073712,1,-0.6235,1,1,0.90714,0.85806,0.71154,0.69444,0.73585,0.54545,-0.95682,-0.87468,-0.87344,-0.99548,-0.95456,-0.91842,-0.97631,-0.73831,-0.84652
30,2,E7,8,-0.49184,-0.826,-0.80271,1,-0.63677,-0.494,-0.59947,-0.27819,0.91046,-0.67409,0.96458,0.93165,1,1,0.88462,0.83333,0.69811,0.54545,-0.96184,-0.84588,-0.94175,-0.99703,-0.98668,-0.98379,-0.9728,-0.76482,-0.87925
31,2,E7,9,-0.44549,-0.85084,-0.84322,0.81792,-0.69435,-0.32967,-0.58886,-0.2914,0.89542,-0.68513,0.95186,0.93759,0.96429,0.96129,0.94231,0.83333,0.88679,1,-0.9404,-0.91274,-0.96719,-0.99509,-0.99704,-0.96057,-0.96731,-0.81798,-0.90379
32,2,E7,10,-0.56821,-0.9651,-0.86789,0.38655,-0.83156,-0.65097,-0.64721,-0.47029,0.63252,-0.74493,0.71753,0.8841,0.90714,0.72903,0.69231,0.86111,0.66038,0.59091,-0.9509,-0.8087,-0.85984,-0.99793,-0.98703,-0.96622,-0.9125,-0.86209,-0.93069
33,2,E7,11,-0.56601,-0.95533,-0.83441,-0.14719,-0.89364,0.023652,-0.65252,-0.47977,0.61891,-0.74748,0.68937,0.75632,0.84286,0.80645,0.65385,0.72222,0.54717,0.86364,-0.93792,-0.82377,-0.93312,-0.99325,-0.99415,-0.95409,-0.99722,-0.77737,-0.85266
