number,classNumber,className,numberInClass,1 varianceOnMask,2 varianceWholeImage,3 varianceWholeImageRed,4 varianceWholeImageGreen,5 varianceWholeImageBlue,6 meanOnMask,7 meanWholeImage,8 meanWholeImageRed,9 meanWholeImageGreen,10 meanWholeImageBlue,11 warRedOnMask,12 warGreenOnMask,13 warBlueOnMask,14 meanOnMaskRed,15 meanOnMaskGreen,16 meanOnMaskBlue,17 kurthosisGrayWholeImage,18 kurthosisGrayOnMask,19 kurthosisRedWholeImage,20 kurthosisGreenWholeImage,21 kurthosisBlueWholeImage,22 kurthosisRedOnMask,23 kurthosisGreenOnMask,24 kurthosisBlueOnMask,25 skewnessGrayWholeImage,26 skewnessGrayOnMask,27 skewnessRedWholeImage,28 skewnessGreenWholeImage,29 skewnessBlueWholeImage,30 skewnessRedOnMask,31 skewnessGreenOnMask,32 skewnessBlueOnMask
64,3,x5,17,228.53657,150.14936,179.41761,155.03924,129.95071,104.50663,144.41482,145.50399,144.41145,141.39595,425.66291,292.63584,259.50415,103.46917,104.49817,107.31269,12.697929,4.0056635,13.995078,16.577775,15.903593,15.161251,9.0517364,11.387485,-2.3283005,0.076949965,-2.2148754,-2.568677,-2.3233242,1.7778499,-0.90904901,-1.0665354
65,3,x5,18,220.87381,107.6665,120.59698,115.28677,98.032102,100.58918,144.84591,146.06398,144.75746,141.90967,449.75427,314.76073,269.20221,101.46205,99.691355,102.95004,19.873858,3.1587986,21.744202,26.630145,25.11313,21.255732,9.2039662,13.154548,-3.2731804,-0.0098434951,-2.9597435,-3.6085408,-3.2380383,2.6723542,-1.1976603,-1.5785417
66,3,x5,19,222.74852,108.00263,120.12717,116.54605,96.567433,100.55824,144.92868,146.16855,144.81145,142.08374,461.93977,320.83807,277.85883,101.53184,99.512624,103.41905,19.951775,3.1207992,22.122941,26.396067,25.698602,21.046649,9.1898307,13.107963,-3.2565246,-0.0099275992,-2.9801562,-3.5675613,-3.2284873,2.6884511,-1.2103331,-1.5866609
67,3,x5,20,195.47392,118.98219,165.22234,116.17085,102.42713,108.26215,144.67362,145.8428,144.60091,141.80425,421.31108,271.47308,258.4063,104.21911,109.78545,111.06088,14.412646,3.2546299,15.441572,21.915777,21.557146,15.636641,11.608928,12.774668,-2.5653185,-0.46779579,-2.4180535,-2.9927752,-2.8135398,1.8293992,-1.7213178,-1.6805391
68,3,x5,21,193.53371,79.806391,108.85217,79.881751,72.606842,105.03296,145.11424,146.32824,145.01287,142.25025,507.721,309.63459,298.32547,101.1733,106.41961,108.0573,22.171419,2.5897939,25.085638,37.24417,35.594727,19.549018,12.890249,14.472362,-3.3091045,-0.42792893,-3.0398338,-3.988783,-3.65623,2.6310546,-2.0650053,-2.0853295
69,3,x5,22,202.96445,75.553258,99.452952,77.28409,69.606131,105.63674,145.19463,146.43456,145.08312,142.30585,534.82115,317.49454,300.20064,102.99352,106.43296,108.49679,22.559757,2.8885889,26.351336,38.329864,36.609604,18.279387,13.189903,15.522151,-3.1869096,-0.28339375,-2.9168107,-3.8790442,-3.4995465,2.5400653,-2.0602339,-2.1621609
70,3,x5,23,23.822799,32.330622,38.194245,34.466072,39.101886,140.59058,144.28263,147.92158,146.22614,124.98977,28.674927,27.45407,27.416158,144.08005,142.59289,121.34264,61.633289,30.289867,41.851733,53.318462,72.723632,26.678216,28.651416,18.231375,1.6308676,-2.5370942,0.95711984,1.2518012,2.6547541,-2.3010218,-2.3351073,-1.5739268
71,3,x5,24,27.800467,29.887558,32.392734,33.426769,25.555823,155.64205,157.77064,157.99219,157.66431,157.75727,29.340283,31.877189,23.60358,155.79638,155.51067,155.97611,40.122426,78.797717,33.857281,33.777016,52.373022,69.777882,62.453643,104.42302,1.8243248,3.6578923,1.6579075,1.5067073,2.3488704,3.3932888,2.9453747,4.5848855
72,3,x5,25,25.112478,31.056553,32.894365,34.97712,26.62832,161.02362,157.41519,157.7341,157.25801,157.40044,26.726444,28.648243,25.165715,161.37577,160.99393,160.1845,37.490181,98.14375,33.047897,30.990653,49.01628,85.640532,76.285551,100.59143,1.7996088,5.2062718,1.6656959,1.4895294,2.2896045,4.7177136,4.2977303,5.274173
73,3,x5,26,275.75876,445.00069,467.34767,463.08276,430.51504,108.40823,145.65552,145.88407,145.57764,145.47216,295.4963,328.09983,327.83299,108.67297,107.96007,110.0477,4.9211092,2.9127464,4.5588442,5.5927631,5.3839831,9.1523059,4.2965281,4.2181004,-1.4844685,-0.54304449,-1.3184411,-1.5734183,-1.5212674,0.4125345,-0.76127384,-0.47778428
74,4,Br,1,156.80763,139.56635,130.51237,156.4174,124.74516,104.30277,138.02616,138.31485,137.81181,138.38665,170.40569,188.57383,148.88558,107.3878,101.98294,108.24201,13.298972,2.7430767,13.321188,12.946057,12.866134,2.9087116,2.6352503,2.9001126,-1.928207,-0.33606227,-1.7386633,-2.043423,-1.6474805,-0.37205297,-0.18942243,-0.067279378
75,4,Br,2,165.17093,92.935976,114.51515,89.365425,86.291501,105.0198,138.99013,139.05818,138.86879,139.46986,222.50702,173.38423,160.15554,102.0453,105.94536,108.12556,22.104321,2.6926731,19.349074,23.186924,21.32689,2.6187559,2.8719063,2.5768092,-2.0077961,-0.71980916,-2.1378958,-1.971451,-1.7558818,-0.53862661,-0.76909032,-0.27113452
76,4,Br,3,131.079,74.232764,70.509909,82.557768,69.794504,107.00632,139.15646,139.32309,138.97071,139.71635,123.86642,164.64988,130.53294,110.47689,104.63623,110.21459,26.06166,2.4494843,24.272154,25.269624,25.339323,2.7475002,2.3390987,2.5877153,-1.7145936,-0.45570994,-1.1756647,-2.0097091,-1.3654405,-0.34438624,-0.3616659,-0.1521885
77,4,Br,4,156.80604,78.736089,79.15403,84.877126,74.005575,102.422,139.21908,139.34016,139.04851,139.82508,148.93852,193.33748,156.24253,104.50734,100.67269,106.0679,27.614595,2.3302727,24.430922,27.557785,26.287668,2.5937614,2.2496768,2.4500281,-2.1900922,-0.42204465,-1.7856817,-2.4075081,-1.7833994,-0.30164717,-0.35585657,-0.11880255
78,4,Br,5,183.03666,141.31647,193.42997,129.6939,121.05446,106.00238,138.22313,138.26343,138.15189,138.55566,258.61605,190.00608,174.73199,101.09638,107.75272,109.93629,13.447838,2.6814682,11.551074,14.713514,13.996545,2.5389869,2.9810974,2.7407402,-1.7558554,-0.75323011,-1.7982925,-1.7591996,-1.6459035,-0.5251419,-0.84901196,-0.4988672
79,4,Br,6,184.24023,102.84993,153.61815,89.934039,88.213277,109.49677,138.44944,138.49983,138.35692,138.84895,263.46884,187.26781,176.45462,103.29328,111.94712,113.24431,13.887747,3.4629654,12.653211,15.295371,13.451872,2.8606676,3.9684494,3.5016035,-2.5919157,-1.0546794,-2.4444441,-2.6889645,-2.5322201,-0.72100479,-1.1923014,-0.90661296
80,4,Br,7,182.32547,134.28259,177.6583,125.15339,118.46345,105.9705,138.34979,138.41029,138.25601,138.72781,257.19841,189.73271,174.31247,101.68389,107.45248,109.65506,14.898222,2.8174368,13.094552,16.06763,14.835595,2.6389679,3.0617933,2.7049082,-2.0591662,-0.80268782,-2.1327783,-2.0589786,-1.8519483,-0.55401799,-0.88646425,-0.45654975
81,4,Br,8,171.56088,148.43304,156.42376,155.19329,134.79844,102.00442,138.38407,138.55986,138.21736,138.82273,192.82001,198.31472,166.3194,102.46329,101.11975,105.44752,13.870817,2.3334192,12.857067,14.099821,13.343218,2.547474,2.2952587,2.4684406,-2.1023346,-0.46510266,-1.9771971,-2.175611,-1.9002908,-0.32047859,-0.43038229,-0.024490522
82,4,Br,9,170.83821,145.05934,155.59389,150.54381,131.39023,102.80841,138.28534,138.46696,138.12732,138.69052,200.06424,195.09393,156.70591,103.1512,102.025,106.03301,13.831304,2.4409599,12.789275,14.117532,13.207359,2.6596512,2.3889226,2.4984462,-1.9897931,-0.57395269,-1.8585203,-2.0729473,-1.7997026,-0.45881549,-0.53617593,-0.086961657
83,4,Br,10,192.52089,144.40242,161.73164,145.95565,129.77826,100.27563,138.32287,138.4127,138.18091,138.83364,230.94411,214.28257,176.34448,99.031344,100.16453,104.19836,15.716321,2.2912066,14.704013,16.117796,14.810192,2.5369643,2.3165322,2.365816,-2.3789491,-0.4878331,-2.3581798,-2.4191978,-2.0829564,-0.38117702,-0.48501562,-0.091822402
